0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.315,0.315,0.285,0.27,0.285,0.27,0.33,0.285,0,0.3,0.21,0,0,0,0.21,0.27,0.255,0.27,0.015,0.18
0.96,1.665,1.635,1.56,1.575,1.53,1.5,1.59,0.99,0,1.605,0.765,0.93,0.915,0.57,1.5,1.47,1.53,1.515,0.345,1.53
2.67,3.525,4.14,4.005,2.865,4.005,3.96,3.465,2.91,0.33,4.095,1.77,3.09,2.535,0.63,2.865,4.605,3.195,2.55,2.085,3.735
4.665,7.275,6.39,7.155,5.235,6.66,6.495,5.985,4.29,0.96,6.615,2.985,3.735,6.03,1.035,5.46,6.735,6.57,3.315,2.325,5.475
9.225,8.46,6.765,8.07,6.84,8.325,8.37,8.46,8.115,2.925,8.355,4.215,6.78,8.745,4.2,6.42,6.915,4.995,2.94,4.245,7.92
8.67,9.015,11.595,9.345,7.26,9.825,9.84,9.69,6.6,3.075,9.795,6.54,5.43,8.25,4.86,9.855,5.685,2.805,5.43,4.2,3.765
11.865,11.685,7.77,10.26,10.515,10.44,10.455,8.655,7.845,3.975,8.31,7.095,10.035,8.025,12,10.005,9.81,7.065,0.72,4.56,7.74
7.56,9.885,6.855,8.145,10.32,10.38,10.275,7.035,5.4,5.07,11.07,11.055,9.36,6.48,11.175,6.945,6.675,7.635,1.635,0.27,8.82
9.84,10.71,7.425,9.795,10.005,9.6,9.615,8.415,9.33,9.09,2.415,5.115,7.86,6.75,5.925,1.995,7.275,7.05,4.41,0.465,6.285
5.4,9.42,5.595,8.76,7.395,8.16,8.22,8.235,7.755,7.665,3.9,10.59,8.28,6.6,3.06,5.58,10.005,9.225,7.755,1.515,3.975
5.625,7.11,5.925,6.42,6.03,6.045,6.165,6.12,5.805,6.255,2.415,7.545,6.33,6.12,3.78,3.345,3.885,5.67,2.16,2.04,5.94
3.42,3.6,3.54,3.555,3.42,3.495,3.63,3.795,3.3,3.675,1.875,2.085,3.66,1.665,0.615,0.975,3.165,0.855,2.13,1.38,4.455
1.155,1.185,0.975,1.17,1.215,1.2,1.155,1.02,1.095,1.26,0.225,1.035,1.515,0.705,0.36,0.24,1.725,0.495,0.285,0.765,1.425
0.165,0.105,0.105,0.12,0.12,0.195,0.27,0.15,0.18,0.105,0.045,0.21,0.465,0,0.435,0.24,0.285,0.12,0,0.21,0.12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
